domain,combined_score,category,category_label,pc1_score,llm_score,iffy_tier,sources
0585news.com,0.2610,2,Low,0.2610,,,pc1
100fedup.com,0.3468,2,Low,0.3468,,,pc1
100giornidaleoni.it,0.2599,2,Low,0.2599,,,pc1
100milefreepress.net,0.5992,3,Mixed,0.5992,,,pc1
100percentfedup.com,0.1972,1,Very Low,0.2194,0.2000,2,pc1+llm+iffy
100percentfedup.net,0.3896,2,Low,0.3896,,,pc1
100percentfedup.us,0.3357,2,Low,0.3357,,,pc1
100percentfedupnews.us,0.4016,3,Mixed,0.4016,,,pc1
1010wins.radio.com,0.7847,4,Moderately High,0.7847,,,pc1
1011now.com,0.7111,4,Moderately High,0.7166,0.7000,,pc1+llm
1015thehawk.com,0.6136,4,Moderately High,0.6136,,,pc1
10news.com,0.7040,4,Moderately High,0.7059,0.7000,,pc1+llm
10news.one,0.1828,1,Very Low,0.1993,,2,pc1+iffy
10tv.com,0.8143,5,High,0.8714,0.7000,,pc1+llm
11alive.com,0.7810,4,Moderately High,0.7715,0.8000,,pc1+llm
12minutos.com,0.1920,1,Very Low,0.2130,,2,pc1+iffy
12news.com,0.8051,5,High,0.8576,0.7000,,pc1+llm
12newsnow.com,0.7454,4,Moderately High,0.7681,0.7000,,pc1+llm
12thmanrising.com,0.5526,3,Mixed,0.5526,,,pc1
12up.com,0.5949,3,Mixed,0.5949,,,pc1
13abc.com,0.7629,4,Moderately High,0.7629,,,pc1
13newsnow.com,0.7161,4,Moderately High,0.7241,0.7000,,pc1+llm
13wham.com,0.7455,4,Moderately High,0.7683,0.7000,,pc1+llm
13wmaz.com,0.6619,4,Moderately High,0.6428,0.7000,,pc1+llm
14news.com,0.6533,4,Moderately High,0.6300,0.7000,,pc1+llm
163.com,0.3500,2,Low,,,4,iffy
16wmpo.com,0.2463,2,Low,0.2463,,,pc1
19fortyfive.com,0.6456,4,Moderately High,0.6456,,,pc1
19thnews.org,0.6464,4,Moderately High,0.5696,0.8000,,pc1+llm
1tv.ru,0.3500,2,Low,,,4,iffy
2020conservative.com,0.4220,3,Mixed,0.6080,,1,pc1+iffy
2020electioncenter.com,0.1870,1,Very Low,0.2555,,1,pc1+iffy
2020maga.pro,0.2539,2,Low,0.2539,,,pc1
2020news.de,0.3700,2,Low,0.3700,,,pc1
209times.com,0.4663,3,Mixed,0.4663,,,pc1
20min.ch,0.6949,4,Moderately High,0.6924,0.7000,,pc1+llm
20minutenews.com,0.2438,2,Low,0.2438,,,pc1
20minutes.fr,0.6892,4,Moderately High,0.6838,0.7000,,pc1+llm
21ninety.com,0.6259,4,Moderately High,0.6259,,,pc1
21stcenturywire.com,0.2415,2,Low,0.2079,0.2000,4,pc1+llm+iffy
247health.com,0.6321,4,Moderately High,0.6321,,,pc1
247newsmedia.com,0.2438,2,Low,0.2438,,,pc1
247sports.com,0.5975,3,Mixed,0.5462,0.7000,,pc1+llm
247wallst.com,0.7808,4,Moderately High,0.8712,0.6000,,pc1+llm
24aktuelles.com,0.1971,1,Very Low,0.1971,,,pc1
24dailynew.com,0.6079,4,Moderately High,0.6079,,,pc1
24jours.com,0.2510,2,Low,0.3015,,2,pc1+iffy
24matins.fr,0.5485,3,Mixed,0.5485,,,pc1
24newsflash.com,0.3603,2,Low,0.3603,,,pc1
24online.news,0.2653,2,Low,0.2653,,,pc1
24orenotizie.com,0.4382,3,Mixed,0.4382,,,pc1
24ur.com,0.7914,4,Moderately High,0.8371,0.7000,,pc1+llm
24usainfo.com,0.2463,2,Low,0.2463,,,pc1
24usnews.com,0.6079,4,Moderately High,0.6079,,,pc1
24wpn.com,0.2438,2,Low,0.2438,,,pc1
24x365live.com,0.3114,2,Low,0.3114,,,pc1
2gb.com,0.6706,4,Moderately High,0.6558,0.7000,,pc1+llm
2ndvote.com,0.5876,3,Mixed,0.5876,,,pc1
30millionsdamis.fr,0.6234,4,Moderately High,0.5351,0.8000,,pc1+llm
365usanews.com,0.6094,4,Moderately High,0.6094,,,pc1
369news.net,0.2486,2,Low,0.1979,,4,pc1+iffy
38north.org,0.8474,5,High,0.8712,0.8000,,pc1+llm
3aw.com.au,0.5297,3,Mixed,0.4445,0.7000,,pc1+llm
3ccorp.net,0.2622,2,Low,0.2622,,,pc1
3newsnow.com,0.6513,4,Moderately High,0.6269,0.7000,,pc1+llm
4029tv.com,0.6660,4,Moderately High,0.6491,0.7000,,pc1+llm
4chan.org,0.3797,2,Low,0.6345,0.2000,1,pc1+llm+iffy
4thgenerationpolitics.com,0.3008,2,Low,0.3008,,,pc1
4threvolutionarywar.wordpress.com,0.4292,3,Mixed,0.4292,,,pc1
5ideeinmovimento.blogspot.it,0.2268,2,Low,0.2268,,,pc1
5newsonline.com,0.6742,4,Moderately High,0.6613,0.7000,,pc1+llm
5pillarsuk.com,0.5187,3,Mixed,0.5187,,,pc1
5stellenews.com,0.3388,2,Low,0.3388,,,pc1
604now.com,0.7396,4,Moderately High,0.7396,,,pc1
620ckrm.com,0.6354,4,Moderately High,0.6354,,,pc1
63red.com,0.6541,4,Moderately High,0.6541,,,pc1
660citynews.com,0.6988,4,Moderately High,0.6988,,,pc1
680news.com,0.8527,5,High,0.8790,0.8000,,pc1+llm
6abc.com,0.7792,4,Moderately High,0.7689,0.8000,,pc1+llm
70news.wordpress.com,0.2531,2,Low,0.2531,,,pc1
79days.news,0.1149,1,Very Low,0.1474,,1,pc1+iffy
7news.com.au,0.7674,4,Moderately High,0.7511,0.8000,,pc1+llm
82.221.129.208,0.2164,2,Low,0.2164,,,pc1
8newsnow.com,0.6925,4,Moderately High,0.6888,0.7000,,pc1+llm
8points9seconds.com,0.6515,4,Moderately High,0.6515,,,pc1
8satire.com,0.3440,2,Low,0.3440,,,pc1
8shit.net,0.4818,3,Mixed,0.4818,,,pc1
911truth.org,0.2004,2,Low,0.2259,0.2000,2,pc1+llm+iffy
919thebend.ca,0.6708,4,Moderately High,0.6708,,,pc1
972mag.com,0.7618,4,Moderately High,0.8427,0.6000,,pc1+llm
985fm.ca,0.6326,4,Moderately High,0.6326,,,pc1
9and10news.com,0.6645,4,Moderately High,0.6467,0.7000,,pc1+llm
9gag.com,0.3500,2,Low,,,4,iffy
9news.com,0.8372,5,High,0.9058,0.7000,,pc1+llm
9news.com.au,0.8312,5,High,0.8468,0.8000,,pc1+llm
9to5mac.com,0.6994,4,Moderately High,0.6491,0.8000,,pc1+llm
a-news24.com,0.2164,2,Low,0.2164,,,pc1
a1apac.org,0.6341,4,Moderately High,0.6341,,,pc1
aa.com.tr,0.6424,4,Moderately High,0.6136,0.7000,,pc1+llm
aaas.org,0.9295,5,High,0.9443,0.9000,,pc1+llm
aachener-nachrichten.de,0.7310,4,Moderately High,0.6964,0.8000,,pc1+llm
aachener-zeitung.de,0.7440,4,Moderately High,0.7160,0.8000,,pc1+llm
aad.org,0.7447,4,Moderately High,0.6670,0.9000,,pc1+llm
aafa.org,0.7576,4,Moderately High,0.6864,0.9000,,pc1+llm
aanirfan.blogspot.co.uk,0.4401,3,Mixed,0.4401,,,pc1
aap.org,0.9231,5,High,0.9096,0.9500,,pc1+llm
aapsonline.org,0.2304,2,Low,0.2357,0.3000,2,pc1+llm+iffy
aarp.org,0.8156,5,High,0.7734,0.9000,,pc1+llm
aattp.org,0.3721,2,Low,0.4831,,2,pc1+iffy
aawsat.com,0.6073,4,Moderately High,0.5609,0.7000,,pc1+llm
aawsat.com/english,0.7541,4,Moderately High,0.7541,,,pc1
abajournal.com,0.6952,4,Moderately High,0.6428,0.8000,,pc1+llm
abbynews.com,0.6976,4,Moderately High,0.6964,0.7000,,pc1+llm
abc-7.com,0.5024,3,Mixed,0.5024,,,pc1
abc.es,0.8278,5,High,0.8417,0.8000,,pc1+llm
abc.net.au,0.8954,5,High,0.8931,0.9000,,pc1+llm
abc10.com,0.6824,4,Moderately High,0.6736,0.7000,,pc1+llm
abc11.com,0.8109,5,High,0.8163,0.8000,,pc1+llm
abc12.com,0.8576,5,High,0.8576,,,pc1
abc13.com,0.6047,4,Moderately High,0.5070,0.8000,,pc1+llm
abc14news.com,0.2953,2,Low,0.2953,,,pc1
abc15.com,0.6949,4,Moderately High,0.6924,0.7000,,pc1+llm
abc17news.com,0.6533,4,Moderately High,0.6300,0.7000,,pc1+llm
abc22now.com,0.5522,3,Mixed,0.5522,,,pc1
abc27.com,0.6452,4,Moderately High,0.6178,0.7000,,pc1+llm
abc30.com,0.6973,4,Moderately High,0.6959,0.7000,,pc1+llm
abc3340.com,0.6628,4,Moderately High,0.6442,0.7000,,pc1+llm
abc4.com,0.6744,4,Moderately High,0.6616,0.7000,,pc1+llm
abc57.com,0.5715,3,Mixed,0.5715,,,pc1
abc6.com,0.6093,4,Moderately High,0.6093,,,pc1
abc6onyourside.com,0.6974,4,Moderately High,0.6961,0.7000,,pc1+llm
abc7.com,0.6979,4,Moderately High,0.6468,0.8000,,pc1+llm
abc7amarillo.com,0.6777,4,Moderately High,0.6665,0.7000,,pc1+llm
abc7chicago.com,0.8704,5,High,0.9056,0.8000,,pc1+llm
abc7news.com,0.6973,4,Moderately High,0.6460,0.8000,,pc1+llm
abc7ny.com,0.8359,5,High,0.8539,0.8000,,pc1+llm
abcactionnews.com,0.7573,4,Moderately High,0.7360,0.8000,,pc1+llm
abcbusinessnews.com,0.1366,1,Very Low,0.1799,,1,pc1+iffy
abcfoxmontana.com,0.7130,4,Moderately High,0.7195,0.7000,,pc1+llm
abcnews-us.com,0.3647,2,Low,0.3647,,,pc1
abcnews.com,0.7456,4,Moderately High,0.6685,0.9000,,pc1+llm
abcnews.com.co,0.2524,2,Low,0.3286,0.1000,,pc1+llm
abcnews.go.com,0.8635,5,High,0.8635,,,pc1
abcnews4.com,0.7097,4,Moderately High,0.7097,,,pc1
abcnewsgo.co,0.2539,2,Low,0.2539,,,pc1
abeldanger.net,0.2110,2,Low,0.2165,0.2000,,pc1+llm
abendblatt.de,0.6054,4,Moderately High,0.5081,0.8000,,pc1+llm
abendzeitung-muenchen.de,0.7277,4,Moderately High,0.7415,0.7000,,pc1+llm
aberdeennews.com,0.6882,4,Moderately High,0.6823,0.7000,,pc1+llm
abilenetimes.com,0.5434,3,Mixed,0.5434,,,pc1
abncnews.com,0.6917,4,Moderately High,0.6917,,,pc1
abort73.com,0.4662,3,Mixed,0.5492,0.3000,,pc1+llm
abortions.news,0.6093,4,Moderately High,0.6093,,,pc1
abovethelaw.com,0.7790,4,Moderately High,0.8185,0.7000,,pc1+llm
abovetopsecret.com,0.1865,1,Very Low,0.1979,0.2000,2,pc1+llm+iffy
abqjournal.com,0.7943,4,Moderately High,0.8415,0.7000,,pc1+llm
abqtimes.com,0.4939,3,Mixed,0.5659,,4,pc1+iffy
abriluno.com,0.2596,2,Low,0.2596,,,pc1
abruzzolive.it,0.7170,4,Moderately High,0.7170,,,pc1
abs-cbn.com,0.7303,4,Moderately High,0.6954,0.8000,,pc1+llm
absurd.news,0.8170,5,High,0.8170,,,pc1
abtc.ng,0.6093,4,Moderately High,0.6093,,,pc1
ac2news.com,0.6199,4,Moderately High,0.6199,,,pc1
academia.org,0.5957,3,Mixed,0.5957,,,pc1
academictimes.com,0.6964,4,Moderately High,0.6964,,,pc1
acallforanuprising.com,0.2303,2,Low,0.2704,,2,pc1+iffy
accademiadellaliberta.blogspot.it,0.2438,2,Low,0.2438,,,pc1
accesswdun.com,0.6428,4,Moderately High,0.6428,,,pc1
acculturated.com,0.6451,4,Moderately High,0.6451,,,pc1
accuweather.com,0.7512,4,Moderately High,0.6768,0.9000,,pc1+llm
aceflashman.wordpress.com,0.5144,3,Mixed,0.5144,,,pc1
aceshowbiz.com,0.6623,4,Moderately High,0.6935,0.6000,,pc1+llm
achgut.com,0.4026,3,Mixed,0.4026,,,pc1
achnews.org,0.6233,4,Moderately High,0.6233,,,pc1
ack.net,0.5949,3,Mixed,0.5949,,,pc1
aclj.org,0.5922,3,Mixed,0.5883,0.6000,,pc1+llm
aclu.org,0.7750,4,Moderately High,0.7125,0.9000,,pc1+llm
acog.org,0.6350,4,Moderately High,0.5024,0.9000,,pc1+llm
acpeds.org,0.2121,2,Low,0.1993,0.3000,2,pc1+llm+iffy
acpjournals.org,0.7306,4,Moderately High,0.6460,0.9000,,pc1+llm
acrimed.org,0.5017,3,Mixed,0.5017,,,pc1
acsh.org,0.7237,4,Moderately High,0.7855,0.6000,,pc1+llm
act.tv,0.4639,3,Mixed,0.4639,,,pc1
acting-man.com,0.3242,2,Low,0.3114,,4,pc1+iffy
actionnews3.com,0.1072,1,Very Low,0.1358,,1,pc1+iffy
actionnews5.com,0.6899,4,Moderately High,0.6849,0.7000,,pc1+llm
actionnewsjax.com,0.8314,5,High,0.8971,0.7000,,pc1+llm
actionnewsnow.com,0.7200,4,Moderately High,0.7300,0.7000,,pc1+llm
activepost.com,0.3814,2,Low,0.3814,,,pc1
activistmommy.com,0.2912,2,Low,0.3368,0.2000,,pc1+llm
activistpost.com,0.1661,1,Very Low,0.1072,0.3000,2,pc1+llm+iffy
activistpost.org,0.4064,3,Mixed,0.4064,,,pc1
actu.fr,0.6660,4,Moderately High,0.6491,0.7000,,pc1+llm
actu17.fr,0.5020,3,Mixed,0.5020,,,pc1
actualidad-rt.com,0.3363,2,Low,0.3363,,,pc1
actualidadpanamericana.com,0.3305,2,Low,0.4458,0.1000,,pc1+llm
actualite.co,0.1776,1,Very Low,0.2164,0.1000,,pc1+llm
actualites.co,0.2165,2,Low,0.2165,,,pc1
actuforcesdelordre.fr,0.5839,3,Mixed,0.5839,,,pc1
actupenit.com,0.6758,4,Moderately High,0.6758,,,pc1
actusoins.com,0.7012,4,Moderately High,0.7012,,,pc1
acweekly.com,0.6964,4,Moderately High,0.6964,,,pc1
ad.nl,0.8341,5,High,0.9012,0.7000,,pc1+llm
adaa.org,0.8954,5,High,0.8931,0.9000,,pc1+llm
adage.com,0.7597,4,Moderately High,0.7395,0.8000,,pc1+llm
adamscountytimes.com,0.3275,2,Low,0.3162,,4,pc1+iffy
adareporter.com,0.4039,3,Mixed,0.4308,,4,pc1+iffy
addictinginfo.com,0.5741,3,Mixed,0.5741,,,pc1
addictinginfo.org,0.3621,2,Low,0.3932,0.3000,,pc1+llm
addiction.news,0.3058,2,Low,0.3058,,,pc1
additudemag.com,0.8277,5,High,0.8666,0.7500,,pc1+llm
adelaidenationalreview.com,0.2690,2,Low,0.2690,,,pc1
adelaidenow.com.au,0.6308,4,Moderately High,0.5963,0.7000,,pc1+llm
adelnews.com,0.5949,3,Mixed,0.5949,,,pc1
adflegal.org,0.3430,2,Low,0.2611,0.7000,2,pc1+llm+iffy
adfontesmedia.com,0.7227,4,Moderately High,0.7090,0.7500,,pc1+llm
adirondackdailyenterprise.com,0.5945,3,Mixed,0.5417,0.7000,,pc1+llm
adirondackexplorer.org,0.6983,4,Moderately High,0.6725,0.7500,,pc1+llm
adl.org,0.8609,5,High,0.8413,0.9000,,pc1+llm
adn.com,0.7880,4,Moderately High,0.8320,0.7000,,pc1+llm
adnkronos.com,0.6998,4,Moderately High,0.6997,0.7000,,pc1+llm
adobochronicles.com,0.2072,2,Low,0.2608,0.1000,,pc1+llm
advertiser-tribune.com,0.6029,4,Moderately High,0.6029,,,pc1
advocate-news.com,0.6201,4,Moderately High,0.6201,,,pc1
advocate.com,0.6477,4,Moderately High,0.6215,0.7000,,pc1+llm
advocateanddemocrat.com,0.6957,4,Moderately High,0.6957,,,pc1
adweek.com,0.8647,5,High,0.8971,0.8000,,pc1+llm
ae911truth.org,0.3152,2,Low,0.3055,0.3000,4,pc1+llm+iffy
aei.org,0.6577,4,Moderately High,0.6116,0.7500,,pc1+llm
aeon.co,0.7998,4,Moderately High,0.7996,0.8000,,pc1+llm
aerzteblatt.de,0.8495,5,High,0.8243,0.9000,,pc1+llm
aerztezeitung.de,0.6649,4,Moderately High,0.5973,0.8000,,pc1+llm
af.sputniknews.com,0.5402,3,Mixed,0.5402,,,pc1
afa.net,0.2677,2,Low,0.3103,0.3000,2,pc1+llm+iffy
affaritaliani.it,0.5002,3,Mixed,0.4503,0.6000,,pc1+llm
affinitymagazine.us,0.7241,4,Moderately High,0.7862,0.6000,,pc1+llm
afinalwarning.com,0.3734,2,Low,0.4600,0.2000,,pc1+llm
afipn.com.au,0.3037,2,Low,0.3037,,,pc1
afj.org,0.5678,3,Mixed,0.5678,,,pc1
aflds.org,0.4694,3,Mixed,0.4694,,,pc1
aflegal.org,0.1500,1,Very Low,,,2,iffy
afn.net,0.4425,3,Mixed,0.5887,,2,pc1+iffy
afp.com,0.9364,5,High,0.9546,0.9000,,pc1+llm
afpc.org,0.5385,3,Mixed,0.5385,,,pc1
afr.com,0.8942,5,High,0.9413,0.8000,,pc1+llm
afr.net,0.6087,4,Moderately High,0.6087,,,pc1
aframnews.com,0.6752,4,Moderately High,0.6752,,,pc1
africacheck.org,0.9433,5,High,0.9650,0.9000,,pc1+llm
africanarguments.org,0.7944,4,Moderately High,0.8417,0.7000,,pc1+llm
africanews.com,0.7534,4,Moderately High,0.7801,0.7000,,pc1+llm
africanexponent.com,0.3242,2,Low,0.3114,,4,pc1+iffy
africanvoiceonline.co.uk,0.8006,5,High,0.8006,,,pc1
afro.com,0.6143,4,Moderately High,0.5715,0.7000,,pc1+llm
afrotech.com,0.6137,4,Moderately High,0.5705,0.7000,,pc1+llm
aftonbladet.se,0.6424,4,Moderately High,0.6136,0.7000,,pc1+llm
againstcronycapitalism.org,0.5507,3,Mixed,0.5507,,,pc1
agassizharrisonobserver.com,0.7171,4,Moderately High,0.7171,,,pc1
agdaily.com,0.8712,5,High,0.8712,,,pc1
agenews.eu,0.2121,2,Low,0.2121,,,pc1
agenpress.it,0.3699,2,Low,0.3699,,,pc1
agenzianova.com,0.5891,3,Mixed,0.5891,,,pc1
ageofautism.com,0.2674,2,Low,0.3011,0.2000,,pc1+llm
ageofshitlords.com,0.2858,2,Low,0.3286,0.2000,,pc1+llm
agerpres.ro,0.8746,5,High,0.9119,0.8000,,pc1+llm
agi.it,0.6428,4,Moderately High,0.6428,,,pc1
agjournalonline.com,0.6430,4,Moderately High,0.6430,,,pc1
agrarheute.com,0.7158,4,Moderately High,0.7158,,,pc1
agrifoodtoday.it,0.6462,4,Moderately High,0.6462,,,pc1
agrigentonotizie.it,0.6312,4,Moderately High,0.6312,,,pc1
agu.org,0.7727,4,Moderately High,0.7090,0.9000,,pc1+llm
aguascalientesdailypost.com,0.3500,2,Low,,,4,iffy
agupdate.com,0.5584,3,Mixed,0.4877,0.7000,,pc1+llm
agweb.com,0.8308,5,High,0.8712,0.7500,,pc1+llm
aheadoftheherd.com,0.5506,3,Mixed,0.5506,,,pc1
ahram.org.eg,0.7074,4,Moderately High,0.6610,0.8000,,pc1+llm
ahtribune.com,0.1433,1,Very Low,0.1150,0.2000,,pc1+llm
ahvalnews.com,0.7862,4,Moderately High,0.7862,,,pc1
ahwatukee.com,0.4373,3,Mixed,0.4373,,,pc1
aidaa-animaliambiente.blogspot.it,0.2463,2,Low,0.2463,,,pc1
aidc.org.za,0.6517,4,Moderately High,0.6517,,,pc1
aier.org,0.6966,4,Moderately High,0.7449,0.6000,,pc1+llm
aijazeera.com,0.3586,2,Low,0.3586,,,pc1
aikenstandard.com,0.7423,4,Moderately High,0.7635,0.7000,,pc1+llm
aikentimes.com,0.3621,2,Low,0.3621,,,pc1
aim.org,0.4271,3,Mixed,0.4406,0.4000,,pc1+llm
aim4truth.org,0.1799,1,Very Low,0.2348,0.2000,1,pc1+llm+iffy
aimertantquepossible.fr,0.5066,3,Mixed,0.5066,,,pc1
aina.org,0.4615,3,Mixed,0.4615,,,pc1
aip.org,0.9016,5,High,0.9024,0.9000,,pc1+llm
airalamo.com,0.5462,3,Mixed,0.5462,,,pc1
airc.it,0.6769,4,Moderately High,0.6769,,,pc1
airdrieecho.com,0.5711,3,Mixed,0.5711,,,pc1
airdrietoday.com,0.5615,3,Mixed,0.5615,,,pc1
airforcetimes.com,0.8365,5,High,0.8548,0.8000,,pc1+llm
airspacemag.com,0.9002,5,High,0.9504,0.8000,,pc1+llm
airwars.org,0.8746,5,High,0.9119,0.8000,,pc1+llm
aish.com,0.5477,3,Mixed,0.4715,0.7000,,pc1+llm
aisnenouvelle.fr,0.6463,4,Moderately High,0.6463,,,pc1
ajaonline.org,0.9064,5,High,0.9096,0.9000,,pc1+llm
ajc.com,0.8479,5,High,0.8718,0.8000,,pc1+llm
ajph.aphapublications.org,0.8906,5,High,0.8906,,,pc1
ajuanews.com,0.1120,1,Very Low,0.1120,,,pc1
akalaat4day.com,0.4112,3,Mixed,0.4112,,,pc1
akbusinessdaily.com,0.7055,4,Moderately High,0.7055,,,pc1
akronnewsreporter.com,0.6201,4,Moderately High,0.6201,,,pc1
akronreporter.com,0.4009,3,Mixed,0.4264,,4,pc1+iffy
al-monitor.com,0.7781,4,Moderately High,0.8172,0.7000,,pc1+llm
al-sura.com,0.7157,4,Moderately High,0.7157,,,pc1
al.com,0.8246,5,High,0.8868,0.7000,,pc1+llm
alabamanow.com,0.5008,3,Mixed,0.5008,,,pc1
alabamaobserver.com,0.2717,2,Low,0.2717,,,pc1
alachuachronicle.com,0.6326,4,Moderately High,0.6326,,,pc1
alamogordonews.com,0.7708,4,Moderately High,0.7708,,,pc1
alarabiya.net,0.6887,4,Moderately High,0.6831,0.7000,,pc1+llm
alaraby.co.uk,0.7708,4,Moderately High,0.8062,0.7000,,pc1+llm
alaskahighwaynews.ca,0.6576,4,Moderately High,0.6364,0.7000,,pc1+llm
alaskapublic.org,0.7030,4,Moderately High,0.6546,0.8000,,pc1+llm
alaskasnewssource.com,0.7090,4,Moderately High,0.7135,0.7000,,pc1+llm
albainternazionale.blogspot.it,0.4071,3,Mixed,0.4071,,,pc1
albanydailynews.com,0.6070,4,Moderately High,0.6070,,,pc1
albanystandard.com,0.3238,2,Low,0.3108,,4,pc1+iffy
albawaba.com,0.4169,3,Mixed,0.3588,0.6000,4,pc1+llm+iffy
albernivalleynews.com,0.7047,4,Moderately High,0.7047,,,pc1
albertanationals.com,0.3866,2,Low,0.3866,,,pc1
albertapressleader.ca,0.4615,3,Mixed,0.4615,,,pc1
